PS-b-2PLA	
X:	Y:
0.54833	-0.057
0.55	-0.069
0.55167	-0.08
0.55333	-0.063
0.555	-0.06
0.55667	-0.071
0.55833	-0.083
0.56	-0.067
0.56167	-0.06
0.56333	-0.071
0.565	-0.081
0.56667	-0.067
0.56833	-0.06
0.57	-0.068
0.57167	-0.078
0.57333	-0.063
0.575	-0.061
0.57667	-0.072
0.57833	-0.083
0.58	-0.07
0.58167	-0.069
0.58333	-0.08
0.585	-0.089
0.58667	-0.074
0.58833	-0.067
0.59	-0.075
0.59167	-0.085
0.59333	-0.071
0.595	-0.068
0.59667	-0.074
0.59833	-0.079
0.6	-0.062
0.60167	-0.059
0.60333	-0.074
0.605	-0.087
0.60667	-0.071
0.60833	-0.066
0.61	-0.077
0.61167	-0.085
0.61333	-0.069
0.615	-0.063
0.61667	-0.071
0.61833	-0.083
0.62	-0.067
0.62167	-0.062
0.62333	-0.073
0.625	-0.081
0.62667	-0.067
0.62833	-0.064
0.63	-0.076
0.63167	-0.085
0.63333	-0.068
0.635	-0.064
0.63667	-0.075
0.63833	-0.085
0.64	-0.068
0.64167	-0.062
0.64333	-0.076
0.645	-0.09
0.64667	-0.071
0.64833	-0.067
0.65	-0.075
0.65167	-0.083
0.65333	-0.068
0.655	-0.065
0.65667	-0.075
0.65833	-0.087
0.66	-0.071
0.66167	-0.066
0.66333	-0.079
0.665	-0.09
0.66667	-0.07
0.66833	-0.064
0.67	-0.074
0.67167	-0.086
0.67333	-0.066
0.675	-0.062
0.67667	-0.074
0.67833	-0.084
0.68	-0.07
0.68167	-0.065
0.68333	-0.074
0.685	-0.082
0.68667	-0.069
0.68833	-0.066
0.69	-0.079
0.69167	-0.089
0.69333	-0.07
0.695	-0.065
0.69667	-0.074
0.69833	-0.084
0.7	-0.073
0.70167	-0.07
0.70333	-0.08
0.705	-0.09
0.70667	-0.072
0.70833	-0.065
0.71	-0.077
0.71167	-0.09
0.71333	-0.074
0.715	-0.069
0.71667	-0.078
0.71833	-0.088
0.72	-0.073
0.72167	-0.07
0.72333	-0.079
0.725	-0.094
0.72667	-0.076
0.72833	-0.066
0.73	-0.074
0.73167	-0.087
0.73333	-0.073
0.735	-0.07
0.73667	-0.081
0.73833	-0.09
0.74	-0.074
0.74167	-0.067
0.74333	-0.076
0.745	-0.089
0.74667	-0.074
0.74833	-0.063
0.75	-0.072
0.75167	-0.086
0.75333	-0.075
0.755	-0.07
0.75667	-0.081
0.75833	-0.094
0.76	-0.077
0.76167	-0.069
0.76333	-0.077
0.765	-0.087
0.76667	-0.072
0.76833	-0.068
0.77	-0.077
0.77167	-0.091
0.77333	-0.076
0.775	-0.071
0.77667	-0.079
0.77833	-0.092
0.78	-0.079
0.78167	-0.071
0.78333	-0.078
0.785	-0.091
0.78667	-0.077
0.78833	-0.072
0.79	-0.08
0.79167	-0.093
0.79333	-0.082
0.795	-0.076
0.79667	-0.084
0.79833	-0.097
0.8	-0.082
0.80167	-0.077
0.80333	-0.085
0.805	-0.097
0.80667	-0.081
0.80833	-0.075
0.81	-0.081
0.81167	-0.092
0.81333	-0.077
0.815	-0.073
0.81667	-0.08
0.81833	-0.091
0.82	-0.077
0.82167	-0.069
0.82333	-0.076
0.825	-0.09
0.82667	-0.078
0.82833	-0.071
0.83	-0.08
0.83167	-0.095
0.83333	-0.08
0.835	-0.073
0.83667	-0.082
0.83833	-0.092
0.84	-0.079
0.84167	-0.073
0.84333	-0.08
0.845	-0.094
0.84667	-0.076
0.84833	-0.068
0.85	-0.081
0.85167	-0.096
0.85333	-0.084
0.855	-0.074
0.85667	-0.079
0.85833	-0.093
0.86	-0.081
0.86167	-0.076
0.86333	-0.085
0.865	-0.094
0.86667	-0.079
0.86833	-0.072
0.87	-0.08
0.87167	-0.096
0.87333	-0.087
0.875	-0.079
0.87667	-0.085
0.87833	-0.097
0.88	-0.086
0.88167	-0.078
0.88333	-0.081
0.885	-0.095
0.88667	-0.081
0.88833	-0.071
0.89	-0.082
0.89167	-0.1
0.89333	-0.087
0.895	-0.075
0.89667	-0.081
0.89833	-0.097
0.9	-0.087
0.90167	-0.081
0.90333	-0.09
0.905	-0.105
0.90667	-0.091
0.90833	-0.081
0.91	-0.087
0.91167	-0.103
0.91333	-0.09
0.915	-0.081
0.91667	-0.089
0.91833	-0.104
0.92	-0.094
0.92167	-0.087
0.92333	-0.095
0.925	-0.11
0.92667	-0.097
0.92833	-0.087
0.93	-0.095
0.93167	-0.108
0.93333	-0.093
0.935	-0.081
0.93667	-0.087
0.93833	-0.101
0.94	-0.09
0.94167	-0.082
0.94333	-0.09
0.945	-0.106
0.94667	-0.097
0.94833	-0.085
0.95	-0.091
0.95167	-0.106
0.95333	-0.098
0.955	-0.088
0.95667	-0.091
0.95833	-0.104
0.96	-0.092
0.96167	-0.081
0.96333	-0.09
0.965	-0.106
0.96667	-0.095
0.96833	-0.081
0.97	-0.084
0.97167	-0.101
0.97333	-0.091
0.975	-0.079
0.97667	-0.083
0.97833	-0.099
0.98	-0.093
0.98167	-0.082
0.98333	-0.088
0.985	-0.101
0.98667	-0.095
0.98833	-0.085
0.99	-0.088
0.99167	-0.101
0.99333	-0.09
0.995	-0.077
0.99667	-0.08
0.99833	-0.093
1	-0.088
1.00167	-0.078
1.00333	-0.082
1.005	-0.099
1.00667	-0.09
1.00833	-0.077
1.01	-0.079
1.01167	-0.094
1.01333	-0.086
1.015	-0.075
1.01667	-0.077
1.01833	-0.09
1.02	-0.086
1.02167	-0.078
1.02333	-0.088
1.025	-0.106
1.02667	-0.093
1.02833	-0.079
1.03	-0.086
1.03167	-0.1
1.03333	-0.093
1.035	-0.085
1.03667	-0.093
1.03833	-0.109
1.04	-0.1
1.04167	-0.088
1.04333	-0.093
1.045	-0.106
1.04667	-0.097
1.04833	-0.082
1.05	-0.084
1.05167	-0.1
1.05333	-0.094
1.055	-0.082
1.05667	-0.088
1.05833	-0.107
1.06	-0.1
1.06167	-0.089
1.06333	-0.096
1.065	-0.113
1.06667	-0.104
1.06833	-0.09
1.07	-0.094
1.07167	-0.105
1.07333	-0.097
1.075	-0.086
1.07667	-0.093
1.07833	-0.11
1.08	-0.1
1.08167	-0.089
1.08333	-0.093
1.085	-0.108
1.08667	-0.102
1.08833	-0.087
1.09	-0.09
1.09167	-0.106
1.09333	-0.096
1.095	-0.083
1.09667	-0.088
1.09833	-0.103
1.1	-0.098
1.10167	-0.084
1.10333	-0.09
1.105	-0.103
1.10667	-0.099
1.10833	-0.087
1.11	-0.092
1.11167	-0.107
1.11333	-0.102
1.115	-0.089
1.11667	-0.091
1.11833	-0.103
1.12	-0.098
1.12167	-0.087
1.12333	-0.095
1.125	-0.113
1.12667	-0.112
1.12833	-0.097
1.13	-0.098
1.13167	-0.112
1.13333	-0.11
1.135	-0.096
1.13667	-0.096
1.13833	-0.109
1.14	-0.106
1.14167	-0.092
1.14333	-0.095
1.145	-0.108
1.14667	-0.102
1.14833	-0.09
1.15	-0.098
1.15167	-0.117
1.15333	-0.112
1.155	-0.097
1.15667	-0.097
1.15833	-0.107
1.16	-0.103
1.16167	-0.09
1.16333	-0.094
1.165	-0.107
1.16667	-0.107
1.16833	-0.095
1.17	-0.101
1.17167	-0.114
1.17333	-0.105
1.175	-0.089
1.17667	-0.096
1.17833	-0.112
1.18	-0.108
1.18167	-0.096
1.18333	-0.097
1.185	-0.108
1.18667	-0.105
1.18833	-0.091
1.19	-0.095
1.19167	-0.111
1.19333	-0.11
1.195	-0.097
1.19667	-0.1
1.19833	-0.114
1.2	-0.11
1.20167	-0.095
1.20333	-0.096
1.205	-0.111
1.20667	-0.108
1.20833	-0.094
1.21	-0.095
1.21167	-0.105
1.21333	-0.102
1.215	-0.091
1.21667	-0.097
1.21833	-0.11
1.22	-0.105
1.22167	-0.089
1.22333	-0.09
1.225	-0.102
1.22667	-0.099
1.22833	-0.087
1.23	-0.09
1.23167	-0.103
1.23333	-0.104
1.235	-0.091
1.23667	-0.094
1.23833	-0.109
1.24	-0.109
1.24167	-0.096
1.24333	-0.099
1.245	-0.111
1.24667	-0.112
1.24833	-0.098
1.25	-0.102
1.25167	-0.118
1.25333	-0.113
1.255	-0.092
1.25667	-0.092
1.25833	-0.109
1.26	-0.112
1.26167	-0.094
1.26333	-0.097
1.265	-0.109
1.26667	-0.11
1.26833	-0.095
1.27	-0.095
1.27167	-0.109
1.27333	-0.111
1.275	-0.101
1.27667	-0.102
1.27833	-0.115
1.28	-0.114
1.28167	-0.101
1.28333	-0.103
1.285	-0.116
1.28667	-0.118
1.28833	-0.103
1.29	-0.101
1.29167	-0.117
1.29333	-0.115
1.295	-0.101
1.29667	-0.104
1.29833	-0.115
1.3	-0.116
1.30167	-0.099
1.30333	-0.1
1.305	-0.115
1.30667	-0.114
1.30833	-0.098
1.31	-0.101
1.31167	-0.117
1.31333	-0.12
1.315	-0.103
1.31667	-0.103
1.31833	-0.114
1.32	-0.113
1.32167	-0.097
1.32333	-0.101
1.325	-0.117
1.32667	-0.12
1.32833	-0.104
1.33	-0.107
1.33167	-0.117
1.33333	-0.118
1.335	-0.1
1.33667	-0.101
1.33833	-0.117
1.34	-0.118
1.34167	-0.101
1.34333	-0.104
1.345	-0.117
1.34667	-0.119
1.34833	-0.103
1.35	-0.102
1.35167	-0.113
1.35333	-0.114
1.355	-0.097
1.35667	-0.096
1.35833	-0.111
1.36	-0.111
1.36167	-0.096
1.36333	-0.1
1.365	-0.112
1.36667	-0.114
1.36833	-0.1
1.37	-0.102
1.37167	-0.112
1.37333	-0.112
1.375	-0.094
