Calibration Curve RI	
X:	Y:
0.58833	9.000
0.59000	9.000
0.59167	9.000
0.59333	9.000
0.59500	9.000
0.59667	9.000
0.59833	9.000
0.60000	9.000
0.60167	9.000
0.60333	9.000
0.60500	9.000
0.60667	9.000
0.60833	9.000
0.61000	9.000
0.61167	9.000
0.61333	9.000
0.61500	9.000
0.61667	9.000
0.61833	9.000
0.62000	9.000
0.62167	9.000
0.62333	9.000
0.62500	9.000
0.62667	9.000
0.62833	9.000
0.63000	9.000
0.63167	9.000
0.63333	9.000
0.63500	9.000
0.63667	9.000
0.63833	9.000
0.64000	9.000
0.64167	9.000
0.64333	9.000
0.64500	9.000
0.64667	9.000
0.64833	9.000
0.65000	9.000
0.65167	9.000
0.65333	9.000
0.65500	9.000
0.65667	9.000
0.65833	9.000
0.66000	9.000
0.66167	9.000
0.66333	9.000
0.66500	9.000
0.66667	9.000
0.66833	9.000
0.67000	9.000
0.67167	9.000
0.67333	9.000
0.67500	9.000
0.67667	9.000
0.67833	9.000
0.68000	9.000
0.68167	9.000
0.68333	9.000
0.68500	9.000
0.68667	9.000
0.68833	9.000
0.69000	9.000
0.69167	9.000
0.69333	9.000
0.69500	9.000
0.69667	9.000
0.69833	9.000
0.70000	9.000
0.70167	9.000
0.70333	9.000
0.70500	9.000
0.70667	9.000
0.70833	9.000
0.71000	9.000
0.71167	9.000
0.71333	9.000
0.71500	9.000
0.71667	9.000
0.71833	9.000
0.72000	9.000
0.72167	9.000
0.72333	9.000
0.72500	9.000
0.72667	9.000
0.72833	9.000
0.73000	9.000
0.73167	9.000
0.73333	9.000
0.73500	9.000
0.73667	9.000
0.73833	9.000
0.74000	9.000
0.74167	9.000
0.74333	9.000
0.74500	9.000
0.74667	9.000
0.74833	9.000
0.75000	9.000
0.75167	9.000
0.75333	9.000
0.75500	9.000
0.75667	9.000
0.75833	9.000
0.76000	9.000
0.76167	9.000
0.76333	9.000
0.76500	9.000
0.76667	9.000
0.76833	9.000
0.77000	9.000
0.77167	9.000
0.77333	9.000
0.77500	9.000
0.77667	9.000
0.77833	9.000
0.78000	9.000
0.78167	9.000
0.78333	9.000
0.78500	9.000
0.78667	9.000
0.78833	9.000
0.79000	9.000
0.79167	9.000
0.79333	9.000
0.79500	9.000
0.79667	9.000
0.79833	9.000
0.80000	9.000
0.80167	9.000
0.80333	9.000
0.80500	9.000
0.80667	9.000
0.80833	9.000
0.81000	9.000
0.81167	9.000
0.81333	9.000
0.81500	9.000
0.81667	9.000
0.81833	9.000
0.82000	9.000
0.82167	9.000
0.82333	9.000
0.82500	9.000
0.82667	9.000
0.82833	9.000
0.83000	9.000
0.83167	9.000
0.83333	9.000
0.83500	9.000
0.83667	9.000
0.83833	9.000
0.84000	9.000
0.84167	9.000
0.84333	9.000
0.84500	9.000
0.84667	9.000
0.84833	9.000
0.85000	9.000
0.85167	9.000
0.85333	9.000
0.85500	9.000
0.85667	9.000
0.85833	9.000
0.86000	9.000
0.86167	9.000
0.86333	9.000
0.86500	9.000
0.86667	9.000
0.86833	9.000
0.87000	9.000
0.87167	9.000
0.87333	9.000
0.87500	9.000
0.87667	9.000
0.87833	9.000
0.88000	9.000
0.88167	9.000
0.88333	9.000
0.88500	9.000
0.88667	9.000
0.88833	9.000
0.89000	9.000
0.89167	9.000
0.89333	9.000
0.89500	9.000
0.89667	9.000
0.89833	9.000
0.90000	9.000
0.90167	9.000
0.90333	9.000
0.90500	9.000
0.90667	9.000
0.90833	9.000
0.91000	9.000
0.91167	9.000
0.91333	9.000
0.91500	9.000
0.91667	9.000
0.91833	9.000
0.92000	9.000
0.92167	9.000
0.92333	9.000
0.92500	9.000
0.92667	9.000
0.92833	9.000
0.93000	9.000
0.93167	9.000
0.93333	9.000
0.93500	9.000
0.93667	9.000
0.93833	9.000
0.94000	9.000
0.94167	9.000
0.94333	9.000
0.94500	9.000
0.94667	9.000
0.94833	9.000
0.95000	9.000
0.95167	9.000
0.95333	9.000
0.95500	9.000
0.95667	9.000
0.95833	9.000
0.96000	9.000
0.96167	9.000
0.96333	9.000
0.96500	9.000
0.96667	9.000
0.96833	9.000
0.97000	9.000
0.97167	9.000
0.97333	9.000
0.97500	9.000
0.97667	9.000
0.97833	9.000
0.98000	9.000
0.98167	9.000
0.98333	9.000
0.98500	9.000
0.98667	9.000
